training_seed,checkpoint_step,effect,full_gradient_alignment,projection_gradient_alignment,weighted_gradient_ratio,actual_update_difference_ratio,actual_update_cosine_to_native,near_zero
42,100,-2.563260716606508e-05,0.05413954022139359,0.06483845121866078,0.1089928896103111,0.026097907181945122,0.9996584082952621,False
42,250,3.119411853103049e-06,0.0386152470745346,0.037194971430096466,0.0814546964175685,0.02465239707454931,0.9996954513032492,False
42,500,2.268236438243698e-05,-0.0008726741637038836,-0.0009168727814168848,0.0667816335585688,0.022029907754654604,0.9997554718449719,False
42,750,8.364264916349562e-06,0.011567674033253416,0.011936628976856104,0.06036090078956121,0.02090905002563546,0.9997808921995598,False
42,1001,2.7190746046124037e-06,0.02272272749274088,0.027079553497654344,0.06016965235559588,0.020299742836272026,0.9997929773832404,False
123,100,-2.9556107708689217e-05,0.06430788987683188,0.07319828698679189,0.10939077011054056,0.026997079857231463,0.9996356139129252,False
123,250,4.664238830137668e-06,0.02468902101955675,0.022681830055407116,0.0801705773486124,0.02397127104284852,0.9997121716631757,False
123,500,1.9748389823437407e-07,0.036612572285311944,0.029409379687496854,0.06693045534371692,0.021705080081513187,0.9997627694444212,True
123,750,-5.123382093574769e-08,0.036400601748675564,0.037497512527590884,0.06092848779806483,0.021045430035645837,0.9997770903511608,True
123,1001,-4.869424780923337e-06,0.032460020267573296,0.031925163879838465,0.05866562731861984,0.020165198737753656,0.999795463285974,False
456,100,-1.3802853830319206e-05,0.04252779643566838,0.04374547039577287,0.11081747326562592,0.026714175453174796,0.9996423275652891,False
456,250,-9.036574636078765e-07,0.04113840714161133,0.03828812759269967,0.08262289721155576,0.024679892840223382,0.9996933879909846,True
456,500,-6.53228115740645e-06,0.045213519455504045,0.0386052297720125,0.06891360866039913,0.022616823118968364,0.9997429069303622,False
456,750,4.469452229510784e-06,0.029234553623800733,0.023380012936948916,0.060803041349285505,0.02072595153084709,0.9997839498851485,False
456,1001,1.4267184047511705e-06,0.02740384239542822,0.03237579534536297,0.05712889906482547,0.020132572320495642,0.9997960919352675,False
